right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1078.9082,1079.4066,,,1079.658,1079.9733,left,,,,,,,,0.1,0.3036,,,,,,,1079.4067,1079.6579,1079.9735,1081.0734,,,,,,,,0,101,101,13,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1081.0748,1081.5726,,,1081.8231,1082.3894,left,,,,,,,,0.6,0.5515,,,,,,,1081.5726,1081.8231,1082.3896,1083.4893,,,,,,,,0,102,102,152,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1083.4907,1083.9888,,,1084.2404,1084.7725,left,,,,,,,,0.55,0.5176,,,,,,,1083.989,1084.2403,1084.7726,1085.8723,,,,,,,,0,103,103,135,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1085.8739,1086.3723,,,1086.6239,1087.0389,left,,,,,,,,0.1,0.4034,,,,,,,1086.3723,1086.6239,1087.039,1088.1383,,,,,,,,0,104,104,3,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1088.1395,1088.6381,,,1088.8891,1089.5219,left,,,,,,,,0.6,0.6169,,,,,,,1088.6381,1088.8891,1089.522,1090.6214,,,,,,,,0,105,105,151,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1090.6225,1091.1213,,,1091.3723,1091.7378,left,,,,,,,,0.1,0.3518,,,,,,,1091.1214,1091.3721,1091.7378,1092.8376,,,,,,,,0,106,106,5,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1092.8381,1093.3375,,,1093.5881,1094.021,right,,,,,,,,0.5,0.4212,,,,,,,1093.3375,1093.588,1094.0211,1095.1209,,,,,,,,0,107,107,97,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1095.1214,1095.6216,,,1095.8724,1096.1213,left,,,,,,,,0.1,0.238,,,,,,,1095.6217,1095.8723,1096.1216,1097.2206,,,,,,,,0,108,108,14,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1097.2211,1097.7207,,,1097.9712,1098.2208,right,,,,,,,,0.9,0.2344,,,,,,,1097.7207,1097.9712,1098.2209,1099.3214,,,,,,,,0,109,109,180,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1099.3226,1099.8209,,,1100.0712,1100.5542,left,,,,,,,,0.5,0.4694,,,,,,,1099.821,1100.0711,1100.5543,1101.6539,,,,,,,,0,110,110,92,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1101.6546,1102.1539,,,1102.4045,1102.9883,right,,,,,,,,0.4,0.5672,,,,,,,1102.154,1102.4044,1102.9884,1104.088,,,,,,,,0,111,111,31,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1104.0891,1104.5877,,,1104.8388,1105.3548,right,,,,,,,,0.4,0.5027,,,,,,,1104.5879,1104.8388,1105.3549,1106.4543,,,,,,,,0,112,112,44,1
,,,,,,,60fa23798a416fb0d9e4ec76,682538037049a7c6aa729e0f,2025-05-14_20h41.30.465,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,1106.4555,1106.9546,,,1107.2057,1107.9379,right,,,,,,,,0.45,0.7209,,,,,,,1106.9546,1107.2056,1107.9381,1109.0377,,,,,,,,0,113,113,86,1
