right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,986.2028,986.7093,,,986.9745,987.4792,right,,,,,,,,0.55,,,,,,986.71,986.9742,0.488,,987.4796,988.5687,,,,,,,,0,110,110,124,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,988.5707,989.0589,,,989.3156,990.2046,right,,,,,,,,0.9,,,,,,989.0591,989.3137,0.8622,,990.205,991.2988,,,,,,,,0,111,111,190,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,991.3051,991.8122,,,992.0432,992.7368,left,,,,,,,,0.45,,,,,,991.8128,992.043,0.6695,,992.7374,993.8359,,,,,,,,0,112,112,77,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,993.8387,994.3197,,,994.5511,995.1863,right,,,,,,,,0.45,,,,,,994.3198,994.5509,0.6095,,995.1864,996.2861,,,,,,,,0,113,113,69,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,996.2884,996.7837,,,997.0167,997.4465,right,,,,,,,,0.6,,,,,,996.7839,997.0165,0.4057,,997.4469,998.5466,,,,,,,,0,114,114,178,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,998.5488,999.0482,,,999.2933,999.7741,right,,,,,,,,0.55,,,,,,999.0483,999.2931,0.4566,,999.7747,1000.8707,,,,,,,,0,115,115,145,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1000.873,1001.371,,,1001.6228,1002.1081,right,,,,,,,,0.9,,,,,,1001.3712,1001.6226,0.461,,1002.1084,1003.2184,,,,,,,,0,116,116,200,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1003.2203,1003.7073,,,1003.9452,1004.3254,right,,,,,,,,0.9,,,,,,1003.7075,1003.945,0.3569,,1004.3256,1005.4139,,,,,,,,0,117,117,194,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1005.4168,1005.9102,,,1006.1679,1006.7374,right,,,,,,,,0.55,,,,,,1005.9105,1006.1676,0.5436,,1006.7377,1007.8338,,,,,,,,0,118,118,149,1
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,1007.8356,1008.334,,,1008.5921,1009.0065,left,,,,,,,,0.4,,,,,,1008.3342,1008.5919,0.3948,,1009.0068,1010.1095,,,,,,,,0,119,119,46,1
