right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,254.624,255.123,,,255.374,255.623,right,,,,,,,,0.45,0.235,,,,,,,255.123,255.374,255.623,256.722,0,39,39,64,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,256.722,257.223,,,257.473,257.639,right,,,,,,,,0.9,0.155,,,,,,,257.223,257.473,257.639,258.741,0,40,40,197,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,258.749,259.239,,,259.49,259.939,left,,,,,,,,0.4,0.436,,,,,,,259.24,259.49,259.939,261.038,0,41,41,31,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,261.039,261.539,,,261.756,262.255,left,,,,,,,,0.5,0.482,,,,,,,261.539,261.756,262.255,263.355,0,42,42,103,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,263.356,263.855,,,264.105,264.388,right,,,,,,,,0.6,0.268,,,,,,,263.855,264.105,264.388,265.489,0,43,43,172,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,265.491,265.989,,,266.238,266.488,left,,,,,,,,0.1,0.236,,,,,,,265.989,266.238,266.489,267.587,0,44,44,29,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,267.588,268.088,,,268.339,268.571,right,,,,,,,,0.55,0.217,,,,,,,268.088,268.339,268.571,269.671,0,45,45,145,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,269.673,270.171,,,270.421,270.587,left,,,,,,,,0.1,0.154,,,,,,,270.172,270.42,270.587,271.694,0,46,46,1,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,271.694,272.187,,,272.438,272.62,left,,,,,,,,0.1,0.169,,,,,,,272.187,272.438,272.621,273.721,0,47,47,10,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,273.722,274.221,,,274.472,274.621,left,,,,,,,,0.1,0.133,,,,,,,274.221,274.472,274.621,275.721,0,48,48,26,1,,,,,,,
